20 undirected graphs in udwGs.txt.
** Note: Since (x,y,w) in E implies (y,x,w) in E, only one edge is listed.

** G1: |V|=10  V={0,1,...,9}
(u, v, w) E = { 
      ( 7, 32, 0.180)
      ( 7, 33, 0.256)
      ( 7, 35, 0.684)
      ( 7, 36, 0.606)
      ( 7, 40, 0.086)
      ( 7, 41, 0.841)
      ( 7, 43, 0.684)
      ( 7, 44, 0.334)
      ( 7, 46, 0.956)
      ( 7, 47, 0.426)
      ( 7, 49, 0.753)
      ( 8,  9, 0.752)
      ( 8, 11, 0.330)
      ( 8, 12, 0.133)
      ( 8, 13, 0.202)
      ( 8, 15, 0.638)
      ( 8, 17, 0.687)
      ( 8, 18, 0.980)
      ( 8, 19, 0.549)
      ( 8, 21, 0.407)
      ( 8, 24, 0.861)
      ( 8, 27, 0.850)
      ( 8, 29, 0.465)
      ( 8, 31, 0.612)
      ( 8, 35, 0.916)
      ( 8, 36, 0.960)
      ( 8, 37, 0.775)
      ( 8, 42, 0.942)
      ( 8, 43, 0.664)
      ( 8, 45, 0.867)
      ( 9, 14, 0.328)
      ( 9, 15, 0.411)
      ( 9, 16, 0.738)
      ( 9, 17, 0.071)
      ( 9, 19, 0.376)
      ( 9, 20, 0.041)
      ( 9, 22, 0.200)
      ( 9, 24, 0.777)
      ( 9, 25, 0.586)
      ( 9, 27, 0.997)
      ( 9, 28, 0.002)
      ( 9, 30, 0.452)
      ( 9, 31, 0.241)
      ( 9, 33, 0.859)
      ( 9, 39, 0.201)
      ( 9, 42, 0.393)
      ( 9, 44, 0.236)
      ( 9, 45, 0.413)
      ( 9, 48, 0.744)
      ( 9, 49, 0.624)
      (10, 12, 0.443)
      (10, 14, 0.124)
      (10, 16, 0.813)
      (10, 20, 0.130)
      (10, 22, 0.660)
      (10, 25, 0.227)
      (10, 27, 0.142)
      (10, 28, 0.562)
      (10, 29, 0.863)
      (10, 31, 0.209)
      (10, 33, 0.504)
      (10, 34, 0.317)
      (10, 35, 0.711)
      (10, 37, 0.291)
      (10, 39, 0.535)
      (10, 40, 0.084)
      (10, 42, 0.294)
      (10, 44, 0.418)
      (10, 45, 0.389)
      (10, 48, 0.772)
      (10, 49, 0.926)
      (11, 14, 0.175)
      (11, 15, 0.285)
      (11, 16, 0.997)
      (11, 17, 0.377)
      (11, 20, 0.984)
      (11, 24, 0.879)
      (11, 25, 0.188)
      (11, 26, 0.329)
      (11, 29, 0.927)
      (11, 30, 0.511)
      (11, 32, 0.686)
      (11, 36, 0.961)
      (11, 39, 0.548)
      (11, 40, 0.834)
      (11, 42, 0.165)
      (11, 43, 0.563)
      (11, 44, 0.013)
      (11, 49, 0.000)
      (12, 19, 0.096)
      (12, 20, 0.738)
      (12, 23, 0.104)
      (12, 24, 0.604)
      (12, 29, 0.944)
      (12, 30, 0.306)
      (12, 31, 0.588)
      (12, 33, 0.804)
      (12, 36, 0.300)
      (12, 37, 0.255)
      (12, 40, 0.684)
      (12, 43, 0.637)
      (12, 45, 0.154)
      (12, 46, 0.205)
      (12, 47, 0.465)
      (13, 18, 0.329)
      (13, 19, 0.073)
      (13, 22, 0.634)
      (13, 23, 0.272)
      (13, 24, 0.554)
      (13, 26, 0.154)
      (13, 27, 0.797)
      (13, 31, 0.413)
      (13, 32, 0.943)
      (13, 34, 0.199)
      (13, 40, 0.625)
      (13, 41, 0.703)
      (13, 42, 0.861)
      (13, 43, 0.775)
      (13, 48, 0.139)
      (14, 18, 0.665)
      (14, 19, 0.387)
      (14, 21, 0.417)
      (14, 23, 0.811)
      (14, 26, 0.562)
      (14, 28, 0.694)
      (14, 29, 0.531)
      (14, 31, 0.125)
      (14, 36, 0.760)
      (14, 40, 0.525)
      (14, 41, 0.223)
      (14, 42, 0.080)
      (14, 43, 0.318)
      (14, 45, 0.270)
      (14, 47, 0.613)
      (14, 48, 0.700)
      (14, 49, 0.107)
      (15, 21, 0.222)
      (15, 24, 0.955)
      (15, 27, 0.715)
      (15, 31, 0.219)
      (15, 32, 0.952)
      (15, 41, 0.243)
      (15, 42, 0.461)
      (15, 43, 0.891)
      (15, 44, 0.383)
      (15, 45, 0.859)
      (15, 46, 0.677)
      (15, 47, 0.683)
      (15, 48, 0.077)
      (15, 49, 0.186)
      (16, 17, 0.352)
      (16, 19, 0.199)
      (16, 20, 0.430)
      (16, 21, 0.075)
      (16, 22, 0.958)
      (16, 25, 0.193)
      (16, 26, 0.976)
      (16, 28, 0.504)
      (16, 29, 0.437)
      (16, 33, 0.511)
      (16, 34, 0.768)
      (16, 37, 0.735)
      (16, 41, 0.078)
      (16, 43, 0.969)
      (16, 45, 0.826)
      (16, 47, 0.861)
      (16, 48, 0.967)
      (16, 49, 0.908)
      (17, 18, 0.014)
      (17, 19, 0.612)
      (17, 21, 0.088)
      (17, 22, 0.883)
      (17, 24, 0.264)
      (17, 25, 0.945)
      (17, 27, 0.212)
      (17, 28, 0.653)
      (17, 29, 0.024)
      (17, 30, 0.018)
      (17, 31, 0.672)
      (17, 34, 0.414)
      (17, 35, 0.903)
      (17, 36, 0.818)
      (17, 37, 0.792)
      (17, 39, 0.005)
      (17, 41, 0.011)
      (17, 42, 0.884)
      (17, 43, 0.189)
      (17, 44, 0.613)
      (17, 45, 0.178)
      (17, 46, 0.280)
      (17, 49, 0.464)
      (18, 19, 0.406)
      (18, 20, 0.277)
      (18, 21, 0.223)
      (18, 23, 0.767)
      (18, 27, 0.347)
      (18, 30, 0.171)
      (18, 32, 0.535)
      (18, 33, 0.603)
      (18, 35, 0.411)
      (18, 36, 0.362)
      (18, 37, 0.403)
      (18, 38, 0.784)
      (18, 40, 0.330)
      (18, 41, 0.330)
      (18, 43, 0.752)
      (18, 46, 0.837)
      (18, 47, 1.000)
      (18, 49, 0.622)
      (19, 21, 0.938)
      (19, 22, 0.339)
      (19, 23, 0.679)
      (19, 24, 0.240)
      (19, 25, 0.318)
      (19, 27, 0.563)
      (19, 29, 0.138)
      (19, 31, 0.542)
      (19, 32, 0.731)
      (19, 34, 0.563)
      (19, 35, 0.018)
      (19, 36, 0.858)
      (19, 39, 0.861)
      (19, 44, 0.323)
      (19, 47, 0.728)
      (20, 21, 0.311)
      (20, 23, 0.951)
      (20, 25, 0.858)
      (20, 32, 0.370)
      (20, 33, 0.866)
      (20, 34, 0.358)
      (20, 36, 0.253)
      (20, 39, 0.323)
      (20, 41, 0.439)
      (20, 43, 0.009)
      (20, 44, 0.427)
      (20, 45, 0.343)
      (20, 47, 0.067)
      (20, 48, 0.885)
      (21, 23, 0.085)
      (21, 25, 0.226)
      (21, 26, 0.457)
      (21, 27, 0.294)
      (21, 28, 0.676)
      (21, 30, 0.374)
      (21, 33, 0.967)
      (21, 35, 0.835)
      (21, 36, 0.415)
      (21, 40, 0.871)
      (21, 41, 0.990)
      (21, 42, 0.639)
      (21, 43, 0.347)
      (21, 46, 0.016)
      (21, 47, 0.962)
      (21, 48, 0.676)
      (22, 23, 0.225)
      (22, 24, 0.592)
      (22, 25, 0.726)
      (22, 35, 0.690)
      (22, 36, 0.478)
      (22, 37, 0.546)
      (22, 39, 0.788)
      (22, 44, 0.544)
      (22, 45, 0.868)
      (22, 46, 0.182)
      (22, 48, 0.074)
      (23, 24, 0.626)
      (23, 25, 0.535)
      (23, 26, 0.377)
      (23, 27, 0.151)
      (23, 29, 0.256)
      (23, 30, 0.992)
      (23, 32, 0.855)
      (23, 33, 0.546)
      (23, 40, 0.920)
      (23, 42, 0.308)
      (23, 43, 0.033)
      (23, 44, 0.678)
      (23, 45, 0.562)
      (23, 46, 0.130)
      (23, 47, 0.490)
      (24, 27, 0.149)
      (24, 29, 0.085)
      (24, 30, 0.438)
      (24, 31, 0.707)
      (24, 35, 0.629)
      (24, 36, 0.680)
      (24, 44, 0.925)
      (24, 46, 0.300)
      (25, 28, 0.313)
      (25, 30, 0.591)
      (25, 32, 0.650)
      (25, 34, 0.626)
      (25, 37, 0.000)
      (25, 39, 0.455)
      (25, 40, 0.217)
      (25, 41, 0.286)
      (25, 42, 0.156)
      (25, 43, 0.402)
      (25, 44, 0.049)
      (25, 46, 0.758)
      (25, 47, 0.946)
      (25, 48, 0.696)
      (26, 28, 0.452)
      (26, 33, 0.124)
      (26, 34, 0.103)
      (26, 36, 0.816)
      (26, 39, 0.087)
      (26, 42, 0.593)
      (26, 43, 0.678)
      (26, 45, 0.510)
      (26, 47, 0.152)
      (26, 49, 0.346)
      (27, 28, 0.165)
      (27, 30, 0.559)
      (27, 31, 0.026)
      (27, 32, 0.010)
      (27, 34, 0.246)
      (27, 35, 0.692)
      (27, 36, 0.412)
      (27, 37, 0.957)
      (27, 40, 0.388)
      (27, 41, 0.312)
      (27, 43, 0.018)
      (27, 44, 0.485)
      (27, 45, 0.862)
      (28, 30, 0.510)
      (28, 32, 0.643)
      (28, 33, 0.859)
      (28, 36, 0.284)
      (28, 37, 0.123)
      (28, 39, 0.134)
      (28, 40, 0.144)
      (28, 41, 0.688)
      (28, 42, 0.418)
      (28, 43, 0.036)
      (28, 45, 0.719)
      (28, 49, 0.254)
      (29, 30, 0.394)
      (29, 31, 0.945)
      (29, 35, 0.407)
      (29, 36, 0.228)
      (29, 37, 0.544)
      (29, 42, 0.474)
      (29, 46, 0.147)
      (29, 47, 0.313)
      (29, 48, 0.381)
      (30, 35, 0.504)
      (30, 36, 0.244)
      (30, 37, 0.753)
      (30, 40, 1.000)
      (30, 43, 0.857)
      (30, 45, 0.329)
      (30, 47, 0.626)
      (31, 32, 0.395)
      (31, 34, 0.826)
      (31, 35, 0.271)
      (31, 40, 0.406)
      (31, 44, 0.343)
      (31, 48, 0.072)
      (31, 49, 0.482)
      (32, 36, 0.663)
      (32, 37, 0.156)
      (32, 42, 0.208)
      (32, 43, 0.221)
      (32, 44, 0.913)
      (32, 45, 0.739)
      (32, 46, 0.067)
      (32, 47, 0.762)
      (32, 48, 0.995)
      (33, 37, 0.982)
      (33, 40, 0.996)
      (33, 45, 0.514)
      (33, 48, 0.036)
      (34, 36, 0.665)
      (34, 40, 0.771)
      (34, 41, 0.509)
      (34, 42, 0.018)
      (34, 43, 0.761)
      (34, 44, 0.643)
      (34, 45, 0.955)
      (34, 46, 0.201)
      (34, 47, 0.195)
      (35, 36, 0.813)
      (35, 41, 0.952)
      (35, 42, 0.148)
      (35, 43, 0.892)
      (35, 45, 0.149)
      (35, 46, 0.794)
      (35, 49, 0.951)
      (36, 37, 0.205)
      (36, 39, 0.272)
      (36, 42, 0.757)
      (36, 43, 0.258)
      (36, 44, 0.634)
      (36, 46, 0.242)
      (36, 49, 0.665)
      (37, 45, 0.137)
      (37, 46, 0.052)
      (37, 47, 0.937)
      (37, 48, 0.044)
      (39, 40, 0.406)
      (39, 41, 0.572)
      (39, 44, 0.892)
      (39, 47, 0.155)
      (39, 48, 0.998)
      (40, 44, 0.543)
      (40, 45, 0.784)
      (40, 46, 0.754)
      (40, 47, 0.133)
      (40, 49, 0.115)
      (41, 42, 0.997)
      (41, 43, 0.998)
      (41, 44, 0.555)
      (41, 47, 0.273)
      (41, 48, 0.657)
      (42, 44, 0.494)
      (42, 45, 0.860)
      (42, 47, 0.237)
      (42, 48, 0.363)
      (43, 44, 0.167)
      (43, 45, 0.973)
      (43, 46, 0.629)
      (43, 47, 0.365)
      (43, 48, 0.238)
      (44, 46, 0.190)
      (44, 47, 0.896)
      (44, 49, 0.294)
      (45, 46, 0.342)
      (45, 47, 0.790)
      (45, 48, 0.041)
      (45, 49, 0.683)
      (46, 49, 0.514)
      (47, 48, 0.115)
      (47, 49, 0.825) }
---------------- 

** G6: |V|=60  V={0,1,...,59}
(u, v, w) E = { 
      ( 0,  3, 0.251)
      ( 0,  4, 0.595)
      ( 0,  6, 0.876)
      ( 0,  7, 0.275)
      ( 0, 10, 0.485)
      ( 0, 11, 0.756)
      ( 0, 13, 0.986)
      ( 0, 14, 0.579)
      ( 0, 15, 0.255)
      ( 0, 17, 0.803)
      ( 0, 18, 0.976)
      ( 0, 21, 0.163)
      ( 0, 23, 0.195)
      ( 0, 27, 0.047)
      ( 0, 28, 0.676)
      ( 0, 29, 0.658)
      ( 0, 30, 0.596)
      ( 0, 32, 0.338)
      ( 0, 35, 0.060)
      ( 0, 40, 0.267)
      ( 0, 41, 0.823)
      ( 0, 43, 0.421)
      ( 0, 44, 0.554)
      ( 0, 46, 0.115)
      ( 0, 54, 0.842)
      ( 0, 56, 0.116)
      ( 0, 57, 0.718)
      ( 0, 58, 0.428)
      ( 1,  3, 0.839)
      ( 1,  4, 0.540)
      ( 1,  6, 0.413)
      ( 1,  7, 0.309)
      ( 1, 12, 0.605)
      ( 1, 13, 0.500)
      ( 1, 14, 0.203)
      ( 1, 16, 0.447)
      ( 1, 17, 0.224)
      ( 1, 18, 0.538)
      ( 1, 20, 0.180)
      ( 1, 24, 0.568)
      ( 1, 26, 0.862)
      ( 1, 27, 0.088)
      ( 1, 28, 0.660)
      ( 1, 29, 0.064)
      ( 1, 30, 0.894)
      ( 1, 34, 0.628)
      ( 1, 37, 0.120)
      ( 1, 38, 0.814)
      ( 1, 43, 0.396)
      ( 1, 44, 0.727)
      ( 1, 48, 0.626)
      ( 1, 49, 0.826)
      ( 1, 51, 0.090)
      ( 1, 53, 0.396)
      ( 1, 55, 0.470)
      ( 1, 56, 0.051)
      ( 1, 59, 0.113)
      ( 2,  3, 0.221)
      ( 2,  4, 0.158)
      ( 2,  6, 0.342)
      ( 2,  7, 0.647)
      ( 2,  8, 0.334)
      ( 2,  9, 0.963)
      ( 2, 10, 0.329)
      ( 2, 11, 0.297)
      ( 2, 12, 0.396)
      ( 2, 15, 0.188)
      ( 2, 22, 0.685)
      ( 2, 23, 0.296)
      ( 2, 28, 0.429)
      ( 2, 31, 0.973)
      ( 2, 32, 0.081)
      ( 2, 33, 0.068)
      ( 2, 34, 0.483)
      ( 2, 35, 0.942)
      ( 2, 37, 0.941)
      ( 2, 40, 0.413)
      ( 2, 43, 0.882)
      ( 2, 53, 0.239)
      ( 2, 54, 0.948)
      ( 2, 55, 0.591)
      ( 2, 56, 0.996)
      ( 2, 57, 0.536)
      ( 2, 59, 0.159)
      ( 3,  4, 0.885)
      ( 3,  5, 0.270)
      ( 3,  8, 0.412)
      ( 3, 10, 0.479)
      ( 3, 11, 0.812)
      ( 3, 13, 0.568)
      ( 3, 14, 0.085)
      ( 3, 17, 0.208)
      ( 3, 18, 0.980)
      ( 3, 20, 0.706)
      ( 3, 21, 0.877)
      ( 3, 24, 0.337)
      ( 3, 26, 0.768)
      ( 3, 31, 0.405)
      ( 3, 32, 0.923)
      ( 3, 34, 0.295)
      ( 3, 36, 0.404)
      ( 3, 47, 0.839)
      ( 3, 49, 0.589)
      ( 3, 50, 0.876)
      ( 3, 51, 0.735)
      ( 3, 52, 0.329)
      ( 3, 54, 0.793)
      ( 3, 55, 0.142)
      ( 3, 56, 0.944)
      ( 3, 57, 0.737)
      ( 3, 58, 0.885)
      ( 3, 59, 0.232)
      ( 4,  5, 0.780)
      ( 4,  6, 0.586)
      ( 4,  9, 0.089)
      ( 4, 10, 0.085)
      ( 4, 13, 0.358)
      ( 4, 14, 0.971)
      ( 4, 15, 0.495)
      ( 4, 16, 0.310)
      ( 4, 23, 0.471)
      ( 4, 24, 0.860)
      ( 4, 25, 0.510)
      ( 4, 26, 0.593)
      ( 4, 27, 0.422)
      ( 4, 28, 0.491)
      ( 4, 30, 0.237)
      ( 4, 32, 0.271)
      ( 4, 34, 0.801)
      ( 4, 36, 0.191)
      ( 4, 37, 0.716)
      ( 4, 38, 0.962)
      ( 4, 39, 0.299)
      ( 4, 42, 0.070)
      ( 4, 43, 0.099)
      ( 4, 46, 0.432)
      ( 4, 49, 0.601)
      ( 4, 52, 0.740)
      ( 4, 56, 0.838)
      ( 5,  6, 0.190)
      ( 5,  9, 0.635)
      ( 5, 10, 0.427)
      ( 5, 13, 0.699)
      ( 5, 15, 0.679)
      ( 5, 16, 0.985)
      ( 5, 18, 0.575)
      ( 5, 29, 0.942)
      ( 5, 30, 0.281)
      ( 5, 31, 0.043)
      ( 5, 37, 0.306)
      ( 5, 39, 0.337)
      ( 5, 43, 0.794)
      ( 5, 44, 0.601)
      ( 5, 46, 0.945)
      ( 5, 47, 0.778)
      ( 5, 51, 0.491)
      ( 5, 52, 0.885)
      ( 5, 53, 0.102)
      ( 5, 54, 0.105)
      ( 5, 56, 0.305)
      ( 6,  8, 0.737)
      ( 6, 10, 0.715)
      ( 6, 11, 0.445)
      ( 6, 12, 0.262)
      ( 6, 13, 0.517)
      ( 6, 15, 0.844)
      ( 6, 17, 0.794)
      ( 6, 18, 0.752)
      ( 6, 20, 0.552)
      ( 6, 23, 0.910)
      ( 6, 24, 0.779)
      ( 6, 25, 0.853)
      ( 6, 28, 0.397)
      ( 6, 29, 0.597)
      ( 6, 31, 0.560)
      ( 6, 32, 0.497)
      ( 6, 33, 0.981)
      ( 6, 36, 0.554)
      ( 6, 37, 0.595)
      ( 6, 38, 0.915)
      ( 6, 39, 0.729)
      ( 6, 41, 0.608)
      ( 6, 43, 0.567)
      ( 6, 44, 0.448)
      ( 6, 46, 0.094)
      ( 6, 47, 0.257)
      ( 6, 48, 0.111)
      ( 6, 49, 0.527)
      ( 6, 51, 0.544)
      ( 6, 53, 0.748)
      ( 6, 54, 0.098)
      ( 6, 56, 0.335)
      ( 6, 57, 0.935)
      ( 6, 59, 0.233)
      ( 7,  8, 0.164)
      ( 7, 10, 0.430)
      ( 7, 12, 0.377)
      ( 7, 13, 0.086)
      ( 7, 15, 0.830)
      ( 7, 16, 0.409)
      ( 7, 18, 0.146)
      ( 7, 20, 0.683)
      ( 7, 23, 0.052)
      ( 7, 25, 0.477)
      ( 7, 26, 0.958)
      ( 7, 28, 0.642)
      ( 7, 30, 0.275)
      ( 7, 31, 0.703)
      ( 7, 33, 0.889)
      ( 7, 34, 0.755)
      ( 7, 35, 0.115)
      ( 7, 37, 0.545)
      ( 7, 39, 0.576)
      ( 7, 40, 0.654)
      ( 7, 43, 0.584)
      ( 7, 44, 0.225)
      ( 7, 45, 0.870)
      ( 7, 46, 0.504)
      ( 7, 53, 0.391)
      ( 7, 54, 0.416)
      ( 7, 55, 0.011)
      ( 7, 56, 0.909)
      ( 7, 58, 0.204)
      ( 8,  9, 0.714)
      ( 8, 11, 0.486)
      ( 8, 12, 0.546)
      ( 8, 13, 0.948)
      ( 8, 14, 0.380)
      ( 8, 16, 0.222)
      ( 8, 18, 0.959)
      ( 8, 20, 0.103)
      ( 8, 21, 0.842)
      ( 8, 22, 0.392)
      ( 8, 23, 0.364)
      ( 8, 24, 0.746)
      ( 8, 27, 0.568)
      ( 8, 28, 0.174)
      ( 8, 30, 0.300)
      ( 8, 32, 0.533)
      ( 8, 34, 0.983)
      ( 8, 35, 0.009)
      ( 8, 38, 0.428)
      ( 8, 40, 0.115)
      ( 8, 41, 0.255)
      ( 8, 42, 0.482)
      ( 8, 43, 0.814)
      ( 8, 44, 0.566)
      ( 8, 47, 0.938)
      ( 8, 48, 0.778)
      ( 8, 49, 0.602)
      ( 8, 50, 0.205)
      ( 8, 52, 0.658)
      ( 8, 54, 0.769)
      ( 8, 55, 0.047)
      ( 8, 56, 0.859)
      ( 8, 57, 0.240)
      ( 8, 59, 0.171)
      ( 9, 10, 0.505)
      ( 9, 11, 0.003)
      ( 9, 14, 0.966)
      ( 9, 17, 0.912)
      ( 9, 18, 0.145)
      ( 9, 20, 0.386)
      ( 9, 21, 0.908)
      ( 9, 22, 0.766)
      ( 9, 25, 0.781)
      ( 9, 26, 0.770)
      ( 9, 27, 0.614)
      ( 9, 29, 0.579)
      ( 9, 31, 0.504)
      ( 9, 34, 0.095)
      ( 9, 38, 0.802)
      ( 9, 39, 0.908)
      ( 9, 40, 0.461)
      ( 9, 41, 0.981)
      ( 9, 47, 0.049)
      ( 9, 48, 0.706)
      ( 9, 49, 0.462)
      ( 9, 52, 0.728)
      ( 9, 53, 0.935)
      ( 9, 54, 0.745)
      ( 9, 57, 0.871)
      ( 9, 59, 0.134)
      (10, 11, 0.501)
      (10, 12, 0.854)
      (10, 13, 0.584)
      (10, 14, 0.264)
      (10, 15, 0.385)
      (10, 17, 0.676)
      (10, 21, 0.760)
      (10, 22, 0.014)
      (10, 23, 0.503)
      (10, 24, 0.570)
      (10, 26, 0.375)
      (10, 28, 0.716)
      (10, 29, 0.675)
      (10, 33, 0.494)
      (10, 36, 0.602)
      (10, 38, 0.263)
      (10, 40, 0.171)
      (10, 41, 0.191)
      (10, 44, 0.470)
      (10, 45, 0.246)
      (10, 46, 0.765)
      (10, 49, 0.756)
      (10, 50, 0.263)
      (10, 51, 0.348)
      (10, 53, 0.494)
      (10, 55, 0.732)
      (10, 56, 0.633)
      (10, 57, 0.834)
      (11, 12, 0.019)
      (11, 13, 0.174)
      (11, 15, 0.467)
      (11, 17, 0.294)
      (11, 20, 0.141)
      (11, 22, 0.785)
      (11, 23, 0.118)
      (11, 25, 0.958)
      (11, 27, 0.788)
      (11, 29, 0.054)
      (11, 31, 0.757)
      (11, 32, 0.751)
      (11, 33, 0.531)
      (11, 34, 0.571)
      (11, 35, 0.214)
      (11, 38, 0.020)
      (11, 41, 0.474)
      (11, 42, 0.071)
      (11, 44, 0.894)
      (11, 46, 0.262)
      (11, 47, 0.188)
      (11, 49, 0.572)
      (11, 53, 0.044)
      (11, 57, 0.484)
      (12, 14, 0.226)
      (12, 15, 0.916)
      (12, 16, 0.885)
      (12, 17, 0.831)
      (12, 18, 0.609)
      (12, 20, 0.387)
      (12, 21, 0.931)
      (12, 22, 0.949)
      (12, 23, 0.622)
      (12, 25, 0.597)
      (12, 26, 0.073)
      (12, 27, 0.125)
      (12, 28, 0.174)
      (12, 29, 0.741)
      (12, 30, 0.893)
      (12, 31, 0.638)
      (12, 35, 0.984)
      (12, 38, 0.436)
      (12, 39, 0.997)
      (12, 40, 0.916)
      (12, 41, 0.833)
      (12, 42, 0.787)
      (12, 43, 0.092)
      (12, 45, 0.007)
      (12, 46, 0.194)
      (12, 47, 0.038)
      (12, 49, 0.943)
      (12, 53, 0.619)
      (12, 54, 0.587)
      (12, 56, 0.129)
      (12, 59, 0.298)
      (13, 14, 0.474)
      (13, 15, 0.149)
      (13, 16, 0.777)
      (13, 20, 0.400)
      (13, 22, 1.000)
      (13, 27, 0.007)
      (13, 28, 0.212)
      (13, 30, 0.682)
      (13, 32, 0.458)
      (13, 33, 0.227)
      (13, 34, 0.569)
      (13, 36, 0.839)
      (13, 37, 0.428)
      (13, 38, 0.306)
      (13, 41, 0.997)
      (13, 42, 0.519)
      (13, 44, 0.233)
      (13, 47, 0.394)
      (13, 54, 0.990)
      (13, 55, 0.529)
      (13, 56, 0.253)
      (13, 59, 0.702)
      (14, 16, 0.082)
      (14, 22, 0.587)
      (14, 24, 0.298)
      (14, 25, 0.832)
      (14, 29, 0.005)
      (14, 31, 0.308)
      (14, 33, 0.162)
      (14, 34, 0.093)
      (14, 36, 0.675)
      (14, 37, 0.372)
      (14, 38, 0.238)
      (14, 40, 0.220)
      (14, 42, 0.843)
      (14, 43, 0.523)
      (14, 44, 0.607)
      (14, 46, 0.289)
      (14, 48, 0.078)
      (14, 51, 0.348)
      (14, 52, 0.312)
      (14, 53, 0.044)
      (14, 57, 0.822)
      (14, 58, 0.568)
      (15, 16, 0.661)
      (15, 18, 0.302)
      (15, 20, 0.601)
      (15, 21, 0.940)
      (15, 23, 0.223)
      (15, 25, 0.558)
      (15, 28, 0.141)
      (15, 30, 0.708)
      (15, 31, 0.894)
      (15, 34, 0.455)
      (15, 37, 0.051)
      (15, 39, 0.956)
      (15, 41, 0.808)
      (15, 43, 0.288)
      (15, 45, 0.925)
      (15, 46, 0.144)
      (15, 50, 0.111)
      (15, 51, 0.313)
      (15, 53, 0.226)
      (15, 54, 0.572)
      (15, 55, 0.608)
      (15, 56, 0.205)
      (15, 58, 0.070)
      (15, 59, 0.496)
      (16, 20, 0.065)
      (16, 21, 0.681)
      (16, 22, 0.056)
      (16, 23, 0.178)
      (16, 24, 0.550)
      (16, 29, 0.928)
      (16, 30, 0.665)
      (16, 31, 0.155)
      (16, 32, 0.476)
      (16, 33, 0.190)
      (16, 35, 0.307)
      (16, 36, 0.659)
      (16, 37, 0.212)
      (16, 40, 0.620)
      (16, 43, 0.024)
      (16, 44, 0.191)
      (16, 45, 0.965)
      (16, 46, 0.203)
      (16, 47, 0.018)
      (16, 48, 0.918)
      (16, 52, 0.383)
      (16, 55, 0.418)
      (16, 56, 0.621)
      (16, 57, 0.761)
      (16, 58, 0.747)
      (16, 59, 0.063)
      (17, 18, 0.067)
      (17, 20, 0.711)
      (17, 22, 0.913)
      (17, 29, 0.559)
      (17, 36, 0.452)
      (17, 37, 0.205)
      (17, 38, 0.178)
      (17, 39, 0.932)
      (17, 42, 0.531)
      (17, 43, 0.118)
      (17, 44, 0.047)
      (17, 46, 0.555)
      (17, 47, 0.627)
      (17, 49, 0.276)
      (17, 51, 0.508)
      (17, 56, 0.722)
      (17, 57, 0.753)
      (17, 58, 0.201)
      (18, 20, 0.745)
      (18, 22, 0.064)
      (18, 24, 0.201)
      (18, 25, 0.188)
      (18, 26, 0.438)
      (18, 28, 0.865)
      (18, 29, 0.276)
      (18, 30, 0.686)
      (18, 35, 0.683)
      (18, 36, 0.325)
      (18, 37, 0.558)
      (18, 38, 0.435)
      (18, 41, 0.320)
      (18, 42, 0.950)
      (18, 44, 0.050)
      (18, 46, 0.708)
      (18, 48, 0.935)
      (18, 51, 0.293)
      (18, 52, 0.860)
      (18, 53, 0.561)
      (18, 55, 0.110)
      (18, 57, 0.450)
      (18, 58, 0.577)
      (18, 59, 0.968)
      (19, 52, 0.530)
      (20, 22, 0.846)
      (20, 25, 0.364)
      (20, 26, 0.326)
      (20, 28, 0.416)
      (20, 30, 0.067)
      (20, 32, 0.895)
      (20, 35, 0.838)
      (20, 36, 0.386)
      (20, 37, 0.702)
      (20, 39, 0.621)
      (20, 40, 0.966)
      (20, 41, 0.232)
      (20, 42, 0.436)
      (20, 43, 0.580)
      (20, 44, 0.249)
      (20, 45, 0.315)
      (20, 48, 0.912)
      (20, 49, 0.868)
      (20, 50, 0.477)
      (20, 51, 0.220)
      (20, 52, 0.199)
      (20, 53, 0.153)
      (20, 56, 0.430)
      (20, 57, 0.099)
      (21, 25, 0.075)
      (21, 27, 0.126)
      (21, 28, 0.124)
      (21, 31, 0.625)
      (21, 33, 0.694)
      (21, 37, 0.567)
      (21, 38, 0.791)
      (21, 40, 0.833)
      (21, 42, 0.635)
      (21, 43, 0.804)
      (21, 44, 0.609)
      (21, 45, 0.175)
      (21, 46, 0.775)
      (21, 47, 0.684)
      (21, 48, 0.554)
      (21, 51, 0.034)
      (21, 53, 0.903)
      (21, 55, 0.834)
      (21, 57, 0.600)
      (21, 59, 0.569)
      (22, 24, 0.504)
      (22, 28, 0.892)
      (22, 29, 0.907)
